Condiciones_20_del_20_hogar_Sexo,Condiciones_20_del_20_hogar_Zona,Condiciones_20_del_20_hogar_Departamento,Condiciones_20_del_20_hogar_Etario,Condiciones_20_del_20_hogar_No_carente,Condiciones_20_del_20_hogar_Valor,Condiciones_20_del_20_hogar_Total,Condiciones_20_del_20_hogar_Proporción,Condiciones_20_del_20_hogar_Variable,Condiciones_20_del_20_hogar_ID,Condiciones_20_del_20_hogar_Nombre_dpto
Hombre,Rural,11,Mayor,583.47797,0,583.47797,0,Sin electricidad,5464,"Bogotá, D.C."
Hombre,Rural,11,Mayor,583.47797,0,583.47797,0,Sin paredes duraderas,6532,"Bogotá, D.C."
Hombre,Rural,11,Mayor,583.47797,0,583.47797,0,Sin pisos duraderos,5998,"Bogotá, D.C."
Hombre,Rural,11,Menor,0,139.95297,139.95297,1,Sin internet,3861,"Bogotá, D.C."
Hombre,Rural,11,Menor,139.95297,0,139.95297,0,Hacinamiento,689,"Bogotá, D.C."
Hombre,Rural,11,Menor,139.95297,0,139.95297,0,Sin electricidad,5463,"Bogotá, D.C."
Hombre,Rural,11,Menor,139.95297,0,139.95297,0,Sin paredes duraderas,6531,"Bogotá, D.C."
Hombre,Rural,11,Menor,139.95297,0,139.95297,0,Sin pisos duraderos,5997,"Bogotá, D.C."
Hombre,Rural,13,Mayor,4829.291,169098,173927.3,0.972233801134152,Sin internet,3866,Bolívar
Hombre,Rural,13,Mayor,104157.3,69770.03,173927.3,0.40114478865595,Sin pisos duraderos,6002,Bolívar
Hombre,Rural,13,Mayor,104291.81,69635.52,173927.3,0.400371419552882,Hacinamiento,694,Bolívar
Hombre,Rural,13,Mayor,137796.3,36130.99,173927.3,0.207736163328011,Sin electricidad,5468,Bolívar
Hombre,Rural,13,Mayor,145145.4,28781.89,173927.3,0.165482302088286,Sin paredes duraderas,6536,Bolívar
Hombre,Rural,13,Menor,3731.168,91861.92,95593.08,0.960968304400277,Sin internet,3863,Bolívar
Hombre,Rural,13,Menor,36383.66,59209.42,95593.08,0.61939023201261,Hacinamiento,691,Bolívar
Hombre,Rural,13,Menor,56075.74,39517.35,95593.08,0.413391324978754,Sin pisos duraderos,5999,Bolívar
Hombre,Rural,13,Menor,77011.96,18581.13,95593.08,0.194377354511435,Sin electricidad,5465,Bolívar
